osmid,road type,length,geometry
458891646,primary,499.04400000000004,"LINESTRING (104.0580855 30.6607276, 104.0569854 30.6606906, 104.0567737 30.6606849, 104.0565523 30.6606822, 104.0563787 30.6607044, 104.056205 30.6607475, 104.0560714 30.660789, 104.0559541 30.6608444, 104.055573 30.6611109, 104.0540374 30.6625615, 104.0538656 30.6627508)"
37129291,secondary,136.373,"LINESTRING (104.0537838 30.65015, 104.0541454 30.6505522, 104.0542256 30.6506463, 104.0545888 30.6510754, 104.054636 30.651133)"
589463659,residential,1254.3919999999998,"MULTILINESTRING ((104.0536902 30.6502087, 104.0528176 30.6508639, 104.0513792 30.6517392, 104.0502763 30.6522957, 104.0502067 30.6523544, 104.0502575 30.6524477, 104.0510606 30.6539476, 104.0510876 30.6540351, 104.0510606 30.6539476, 104.0502575 30.6524477, 104.0502067 30.6523544, 104.0502763 30.6522957, 104.0513792 30.6517392, 104.0528176 30.6508639, 104.0536902 30.6502087), (104.0536902 30.6502087, 104.0537838 30.65015, 104.0536902 30.6502087))"
37129403,primary,440.156,"LINESTRING (104.038726 30.6541916, 104.0385951 30.6541918, 104.0380123 30.6541854, 104.0378681 30.6541832, 104.0377178 30.6541757, 104.037552 30.6541509, 104.0374171 30.6541235, 104.0371114 30.6540431, 104.0347608 30.6534113, 104.0342573 30.6534004)"
552545421,tertiary,467.28799999999995,"MULTILINESTRING ((104.0347702 30.6532895, 104.0347608 30.6534113, 104.0347702 30.6532895), (104.0347702 30.6532895, 104.0348257 30.6522156), (104.0348257 30.6522156, 104.0347702 30.6532895), (104.0348257 30.6522156, 104.0348723 30.6513123, 104.0348257 30.6522156))"
28620366,unclassified,564.22,"MULTILINESTRING ((104.0637076 30.6515837, 104.0638064 30.6515882), (104.0638064 30.6515882, 104.0637076 30.6515837), (104.0637076 30.6515837, 104.0635976 30.6515842, 104.0637076 30.6515837), (104.0638064 30.6515882, 104.0640605 30.6515856), (104.0640605 30.6515856, 104.0638064 30.6515882), (104.0641503 30.6515847, 104.0640605 30.6515856), (104.0640605 30.6515856, 104.0641503 30.6515847), (104.0641503 30.6515847, 104.0643996 30.6515519, 104.0650568 30.6513607), (104.0650568 30.6513607, 104.0643996 30.6515519, 104.0641503 30.6515847), (104.0650568 30.6513607, 104.066018 30.6510819, 104.0664306 30.6509609, 104.066018 30.6510819, 104.0650568 30.6513607))"
28620976,secondary,474.2710000000001,"LINESTRING (104.0681138 30.6695736, 104.0662916 30.6695825, 104.0658038 30.6695748, 104.0644593 30.6695363, 104.0631561 30.6695128)"
576653470,primary,2171.3800000000006,"LINESTRING (104.06793 30.6737576, 104.0680582 30.6736518, 104.0681018 30.6736018, 104.0681857 30.6734939, 104.0683116 30.6732943, 104.0683334 30.6732438, 104.0683392 30.6731514, 104.0682458 30.6717468, 104.0681138 30.6695736, 104.0680958 30.669471, 104.0681124 30.6658005, 104.0681758 30.664524, 104.0682423 30.6634806, 104.0682994 30.6624675, 104.0683961 30.6609716, 104.0684058 30.6608005, 104.0684366 30.6599974, 104.068469 30.6589096, 104.0684739 30.658723, 104.068454 30.6583251, 104.0684027 30.6581961, 104.0681535 30.657645, 104.0678698 30.6570033, 104.0663521 30.6549805, 104.0662549 30.6548597)"
53114535,primary,634.9219999999999,"LINESTRING (104.0742801 30.6555953, 104.0734371 30.656005, 104.0724482 30.6564856, 104.0723131 30.6565515, 104.0717499 30.6568435, 104.0705385 30.6574171, 104.069545 30.6578636, 104.0686662 30.6582563, 104.068454 30.6583251)"
115625985,residential,435.55600000000004,"LINESTRING (104.0705385 30.6574171, 104.0708772 30.6579007, 104.0714113 30.6586616, 104.0717089 30.659097, 104.0714113 30.6586616, 104.0708772 30.6579007, 104.0705385 30.6574171)"
